maternalID	individualID	array#	flowerPosition	dichogamytype	inflorescenceSize	seedCount notSeedCount
A2-9	9	3	base	adichogamous	10	8	209
A2-9	9	3	top	adichogamous	10	14	170
D2-25	1	3	base	adichogamous	10	190	87
D2-25	1	3	top	adichogamous	10	12	74
D2-36	3	3	base	adichogamous	10	5	48
D2-36	3	3	top	adichogamous	10	46	45
O27	6	3	base	adichogamous	10	408	112
O27	6	3	top	adichogamous	10	9	174
O27	7	3	base	adichogamous	10	69	116
O27	7	3	base	adichogamous	10	9	36
O27	7	3	top	adichogamous	10	33	233
O33	1	3	base	adichogamous	10	1	68
O33	1	3	top	adichogamous	10	33	18
O34	1	3	base	adichogamous	10	0	123
O34	1	3	top	adichogamous	10	18	190
O36	1	3	base	adichogamous	10	58	90
O36	1	3	top	adichogamous	10	53	48
O55	4	3	base	adichogamous	10	150	75
O55	4	3	top	adichogamous	10	139	64
O55	5	3	base	adichogamous	10	8	76
O55	5	3	top	adichogamous	10	20	140
O58	5	3	base	adichogamous	10	29	240
O58	5	3	top	adichogamous	10	19	138
O58	6	3	base	adichogamous	10	4	87
O58	6	3	top	adichogamous	10	23	78
O63	1	3	base	adichogamous	10	5	249
O63	1	3	top	adichogamous	10	15	86
R2	1	3	base	adichogamous	10	89	389
R22	1	3	base	adichogamous	10	53	320
R22	1	3	top	adichogamous	10	33	216
R36	1	3	base	adichogamous	10	38	124
R36	1	3	top	adichogamous	10	66	116
O27	4	4	base	adichogamous	6	30	70
O27	4	4	top	adichogamous	6	83	41
O39	3	4	base	adichogamous	6	22	270
O39	3	4	top	adichogamous	6	60	278
O40	2	4	base	adichogamous	6	46	88
O40	2	4	top	adichogamous	6	78	205
O51	2	4	base	adichogamous	6	80	51
O51	2	4	top	adichogamous	6	66	236
O55	3	4	base	adichogamous	6	21	110
O55	3	4	top	adichogamous	6	19	57
O58	1	4	base	adichogamous	6	127	173
O58	1	4	top	adichogamous	6	82	374
O65	1	4	base	adichogamous	6	146	71
O65	1	4	top	adichogamous	6	45	167
O68	2	4	base	adichogamous	6	19	155
O68	2	4	top	adichogamous	6	92	357
O69	1	4	base	adichogamous	6	14	176
O69	1	4	top	adichogamous	6	70	230
O70	1	4	base	adichogamous	6	128	337
O70	1	4	top	adichogamous	6	155	320
O8	7	4	base	adichogamous	6	81	209
O8	7	4	top	adichogamous	6	70	242
O9	5	4	base	adichogamous	6	79	212
O9	5	4	top	adichogamous	6	34	191
R1	1	4	base	adichogamous	6	279	123
R1	1	4	top	adichogamous	6	63	145
R15	9	4	base	adichogamous	6	85	163
R15	9	4	top	adichogamous	6	185	236
R4	6	4	base	adichogamous	6	64	201
R4	6	4	top	adichogamous	6	35	193
R46	5	4	base	adichogamous	6	5	38
R46	5	4	top	adichogamous	6	36	89
A2-9	3	5	base	adichogamous	2	0	0
A2-9	3	5	top	adichogamous	2	0	0
D2-11	5	5	base	adichogamous	2	77	133
D2-11	5	5	top	adichogamous	2	76	141
O31	1	5	base	dichogamous	2	323	188
O31	1	5	top	dichogamous	2	4	70
O37	1	5	base	dichogamous	2	256	58
O42	3	5	base	adichogamous	2	93	194
O42	3	5	top	adichogamous	2	123	148
O50	1	5	base	dichogamous	2	27	24
O57	7	5	base	dichogamous	2	166	124
O68	4	5	base	adichogamous	2	198	113
O68	4	5	top	adichogamous	2	53	369
O9	1	5	base	adichogamous	2	169	198
O9	1	5	top	adichogamous	2	76	239
R21	1	5	base	adichogamous	2	83	213
R21	1	5	top	adichogamous	2	91	252
R24	3	5	base	dichogamous	2	65	110
R25	2	5	base	adichogamous	2	117	82
R25	2	5	top	adichogamous	2	96	134
R46	1	5	base	dichogamous	2	73	50
R50	6	5	base	adichogamous	2	117	76
R50	6	5	top	adichogamous	2	36	74
A2-9	8	6	base	adichogamous	2	104	162
A2-9	8	6	top	adichogamous	2	60	50
D2-13	5	6	base	adichogamous	2	235	109
D2-13	5	6	top	adichogamous	2	171	80
O23	1	6	base	adichogamous	2	206	216
O23	1	6	top	adichogamous	2	104	220
O25	11	6	base	adichogamous	2	231	93
O39	3	6	base	adichogamous	2	68	206
O39	3	6	top	adichogamous	2	123	191
O40	6	6	base	adichogamous	2	32	359
O40	6	6	top	adichogamous	2	42	247
O41	7	6	base	adichogamous	2	362	165
O41	7	6	top	adichogamous	2	253	160
O55	4	6	base	adichogamous	2	254	67
O55	4	6	top	adichogamous	2	274	92
O58	6	6	base	adichogamous	2	249	149
O58	6	6	top	adichogamous	2	195	192
O69	1	6	base	adichogamous	2	190	207
O69	1	6	top	adichogamous	2	86	304
O70	2	6	base	adichogamous	2	246	186
O70	2	6	top	adichogamous	2	158	76
O8	3	6	base	adichogamous	2	160	108
O8	3	6	top	adichogamous	2	230	44
R19	8	6	base	adichogamous	2	173	111
R19	8	6	top	adichogamous	2	183	211
R29	3	6	base	adichogamous	2	5	25
R29	3	6	top	adichogamous	2	94	138
R30	1	6	base	adichogamous	2	108	85
R30	1	6	top	adichogamous	2	176	71
D2-5	9	9	base	dichogamous	6	17	155
D2-5	9	9	top	dichogamous	6	90	159
O25	9	9	base	adichogamous	6	52	52
O25	9	9	top	adichogamous	6	149	101
O27	4	9	base	adichogamous	6	168	143
O27	4	9	top	adichogamous	6	63	213
O33	1	9	base	dichogamous	6	39	189
O33	1	9	top	dichogamous	6	2	22
O37	1	9	base	adichogamous	6	11	153
O37	1	9	top	adichogamous	6	13	188
O38	3	9	base	adichogamous	6	44	157
O38	3	9	top	adichogamous	6	28	134
O40	2	9	base	dichogamous	6	49	34
O40	2	9	top	dichogamous	6	51	100
O51	2	9	base	adichogamous	6	77	54
O51	2	9	top	adichogamous	6	60	234
O57	5	9	base	adichogamous	6	47	247
O57	5	9	top	adichogamous	6	101	256
O58	4	9	base	adichogamous	6	79	291
O58	4	9	top	adichogamous	6	108	199
O64	7	9	base	dichogamous	6	3	57
O64	7	9	top	dichogamous	6	63	228
O9	7	9	base	dichogamous	6	16	223
O9	7	9	top	dichogamous	6	17	86
R2	1	9	base	dichogamous	6	89	181
R2	1	9	top	dichogamous	6	61	107
R27	2	9	base	dichogamous	6	39	59
R27	2	9	top	dichogamous	6	45	213
R36	2	9	base	dichogamous	6	54	357
R6	2	9	base	adichogamous	6	55	136
R6	2	9	top	adichogamous	6	18	105
R6	2	9	top	adichogamous	6	64	116
A1-18	3	10	base	adichogamous	2	117	184
A1-18	3	10	top	adichogamous	2	105	134
A2-9	2	10	base	adichogamous	2	103	214
A2-9	2	10	top	adichogamous	2	230	136
D2-13	5	10	base	adichogamous	2	170	116
D2-36	2	10	base	adichogamous	2	73	43
D2-36	2	10	top	adichogamous	2	91	45
D6-4	3	10	base	adichogamous	2	3	19
D6-4	3	10	top	adichogamous	2	0	0
O33	3	10	base	adichogamous	2	225	133
O33	3	10	top	adichogamous	2	192	191
O36	1	10	base	adichogamous	2	305	91
O36	1	10	top	adichogamous	2	358	119
O54		10	base	adichogamous	2	36	171
O54		10	top	adichogamous	2	179	248
O54	1	10	base	adichogamous	2	216	99
O54	1	10	top	adichogamous	2	253	83
O69	2	10	base	adichogamous	2	104	284
O70	1	10	base	adichogamous	2	311	170
O70	1	10	top	adichogamous	2	201	219
O9	3	10	base	adichogamous	2	218	56
O9	3	10	top	adichogamous	2	100	72
R19	6	10	base	adichogamous	2	215	163
R19	6	10	top	adichogamous	2	153	137
R25	4	10	base	adichogamous	2	246	153
R25	4	10	top	adichogamous	2	343	94
R29	3	10	base	adichogamous	2	271	109
R29	3	10	top	adichogamous	2	40	236
R46	1	10	base	adichogamous	2	295	152
R46	1	10	top	adichogamous	2	234	99
D6-3	2	11	base	adichogamous	2	50	48
D6-3	2	11	top	adichogamous	2	120	100
O27	7	11	base	adichogamous	2	229	175
O27	7	11	top	adichogamous	2	210	115
O31	3	11	base	adichogamous	2	302	103
O31	3	11	top	adichogamous	2	255	135
O33	4	11	base	dichogamous	2	205	181
O40	6	11	base	dichogamous	2	134	71
O40	6	11	top	dichogamous	2	1	21
O55	3	11	base	adichogamous	2	139	201
O55	3	11	top	adichogamous	2	175	179
O57	6	11	base	adichogamous	2	117	86
O70	2	11	base	adichogamous	2	90	196
O70	2	11	base	adichogamous	2	78	97
O70	2	11	top	adichogamous	2	120	145
O70	2	11	top	adichogamous	2	217	64
O8	10	11	base	dichogamous	2	236	112
R15	4	11	base	dichogamous	2	118	42
R19	5	11	base	dichogamous	2	98	278
R19	5	11	top	dichogamous	2	3	15
R2	6	11	base	dichogamous	2	199	172
R23	4	11	base	adichogamous	2	314	180
R23	4	11	top	adichogamous	2	239	158
R24	3	11	base	adichogamous	2	132	220
R24	3	11	top	adichogamous	2	69	334
A2-9	5	12	base	adichogamous	10	8	66
A2-9	5	12	top	adichogamous	10	3	33
D2-36	3	12	base	adichogamous	10	36	510
D2-36	3	12	top	adichogamous	10	15	96
O15	1	12	base	dichogamous	10	42	397
O25	11	12	base	dichogamous	10	73	221
O25	11	12	base	dichogamous	10	38	337
O25	11	12	top	dichogamous	10	18	165
O57	1	12	top	dichogamous	10	30	408
O55	4	12	base	dichogamous	10	112	26
O55	4	12	top	dichogamous	10	66	139
O57	7	12	base	dichogamous	10	30	241
O57	7	12	top	dichogamous	10	55	130
O58	1	12	base	dichogamous	10	16	219
O58	1	12	top	dichogamous	10	37	265
O65	1	12	base	adichogamous	10	34	66
O65	1	12	top	adichogamous	10	26	161
O9	2	12	base	adichogamous	10	0	0
O9	2	12	top	adichogamous	10	105	58
R19	3	12	base	adichogamous	10	0	0
R19	3	12	top	adichogamous	10	65	266
R19	7	12	base	dichogamous	10	11	229
R19	7	12	top	dichogamous	10	40	328
R19	8	12	base	dichogamous	10	23	88
R19	8	12	top	dichogamous	10	43	156
R2	3	12	base	adichogamous	10	160	156
R2	3	12	top	adichogamous	10	26	143
R22	1	12	base	adichogamous	10	57	283
R22	1	12	top	adichogamous	10	84	242
R50	6	12	base	adichogamous	10	180	200
R50	6	12	top	adichogamous	10	69	52
D2-11	5	13	base	adichogamous	6	38	259
D2-11	5	13	top	adichogamous	6	50	248
D2-5	9	13	base	adichogamous	6	259	184
D2-5	9	13	top	adichogamous	6	251	220
O27	3	13	base	adichogamous	6	47	100
O27	3	13	top	adichogamous	6	101	184
O38	3	13	base	adichogamous	6	262	207
O38	3	13	top	adichogamous	6	305	57
