Ploidy	AntherPresence	PollenCount
diploid antherAbsent	39
diploid	antherAbsent	217
diploid	antherAbsent	26
diploid	antherAbsent	138.5
diploid	antherAbsent	38.5
diploid	antherAbsent	22.5
diploid	antherAbsent	519
diploid	antherAbsent	233
diploid	antherAbsent	216
diploid	antherPresent	41.5
diploid	antherPresent	48
diploid	antherPresent	83
diploid	antherPresent	102.5
diploid	antherPresent	175
diploid	antherPresent	101.5
diploid	antherPresent	37
diploid	antherPresent	113.5
diploid	antherPresent	1049.5
tetraploid	antherPresent	22.5
tetraploid	antherPresent	146.5
tetraploid	antherPresent	422
tetraploid	antherPresent	79.5
tetraploid	antherPresent	12
tetraploid	antherPresent	15
tetraploid	antherPresent	83
tetraploid	antherPresent	20.5
tetraploid	antherPresent	363.5
tetraploid	antherPresent	26.5
tetraploid	antherAbsent	7
tetraploid	antherAbsent	138
tetraploid	antherAbsent	106
tetraploid	antherAbsent	613.5
tetraploid	antherAbsent	35.5
tetraploid	antherAbsent	299
tetraploid	antherAbsent	27.5
tetraploid	antherAbsent	333
tetraploid	antherAbsent	55
tetraploid	antherAbsent	60.5
diploid	antherPresent	10
diploid	antherPresent	110
diploid	antherPresent	55.5
diploid	antherPresent	191
diploid	antherPresent	228
diploid	antherPresent	68
diploid	antherPresent	20
diploid	antherPresent	99
diploid	antherPresent	24
diploid	antherAbsent	32.5
diploid	antherAbsent	67
diploid	antherAbsent	58
diploid	antherAbsent	0
diploid	antherAbsent	39.5
diploid	antherAbsent	26
diploid	antherAbsent	59
diploid	antherAbsent	83.5
diploid	antherAbsent	47
diploid	antherPresent	73.5
diploid	antherPresent	84.5
diploid	antherPresent	99.5
diploid	antherPresent	75.5
diploid	antherPresent	153.5
diploid	antherPresent	118
diploid	antherPresent	110
diploid	antherPresent	160.5
diploid	antherPresent	114
diploid	antherPresent	55.5
diploid	antherPresent	200.5
diploid	antherPresent	147
diploid	antherPresent	92
diploid	antherPresent	67.5
diploid	antherPresent	324.5
diploid	antherPresent	70
tetraploid	antherPresent	26.5
tetraploid	antherPresent	295
tetraploid	antherPresent	96
tetraploid	antherPresent	203
tetraploid	antherPresent	45.5
tetraploid	antherPresent	49
tetraploid	antherPresent	96
tetraploid	antherPresent	1256.5
tetraploid	antherPresent	972.5
tetraploid	antherPresent	56.5
tetraploid	antherPresent	867.5
tetraploid	antherPresent	383.5
tetraploid	antherPresent	208.5
tetraploid	antherPresent	32
tetraploid	antherPresent	124.5
tetraploid	antherAbsent	35.5
