Array	DichogamyType	FlowerSize	ProportionHeterozygousProgeny
10	uniformAdichogamous	2	0.252428
11	adichogamous	2	0.485452
11	dichogamous	2	0.37594
12	adichogamous	10	2.302193
12	dichogamous	10	0.195548
13	uniformAdichogamous	6	0.980166
14	adichogamous	6	0.954198
14	dichogamous	6	0.250627
15	uniformAdichogamous	10	0.206116
16	adichogamous	6	1.12458
16	dichogamous	6	0.552886
17	adichogamous	10	1.181389
17	dichogamous	10	0.181927
18	uniformAdichogamous	6	1.432109
19	uniformAdichogamous	10	0.454403
20	uniformAdichogamous	2	0.840825
21	adichogamous	2	0.408942
21	dichogamous	2	1.890722
22	uniformAdichogamous	2	0.637458
23	adichogamous	10	1.278874
23	dichogamous	10	0.256746
24	adichogamous	6	1.119952
24	dichogamous	6	0.645334
25	adichogamous	2	1.240407
25	dichogamous	2	0.367895
26	uniformAdichogamous	10	0.0562
27	adichogamous	10	1.619545
27	dichogamous	10	0.675801
28	uniformAdichogamous	6	0.903642
3	uniformAdichogamous	10	0.310095
4	uniformAdichogamous	6	0.702552
5	adichogamous	2	2.005764
5	dichogamous	2	0.329902
6	uniformAdichogamous	2	0.333201
9	adichogamous	6	0.448765
9	dichogamous	6	0.877193
